Mutants,initial biomass,lag,t_max,max_slope,r2,y-intercept,x-intercept
WT,0.064666666666667,9,15.125,0.105890909090909,0.99866714738134,-1.1128,10.5089285714286
WT,0.062666666666667,8.5,14.625,0.112606060606061,0.999232699842951,-1.12216363636364,9.96539289558665
mutant1,0.088333333333333,10.25,15.125,0.106545454545455,0.998861931821091,-1.1048,10.3692832764505
mutant1,0.102,10.75,15.125,0.110060606060606,0.999222402562775,-1.12766666666667,10.2458700440529
mutant11,0.064666666666667,9,15.125,0.10550303030303,0.996313725737744,-1.07573333333333,10.1962316176471
mutant11,0.071,10,15.875,0.105721212121212,0.998032306880361,-1.14922424242424,10.8703279064435
mutant13,0.076666666666667,9.75,15.125,0.1112,0.999285321346793,-1.151,10.3507194244604
mutant13,0.064333333333333,8,14.125,0.113793939393939,0.998477561662469,-1.07173939393939,9.41824669791223
mutant16,0.086333333333333,9,14.625,0.111806060606061,0.99920310071052,-1.07096363636364,9.57876192541197
mutant16,0.101333333333333,9.75,14.625,0.109745454545455,0.999094397241071,-1.04152727272727,9.49039098740888
WT,0.016333333333333,3.25,15.125,0.112218181818182,0.998396984071182,-1.1508,10.2550226830849
WT,0.042,6.75,14.625,0.11529696969697,0.998753431243203,-1.12701818181818,9.77491589571068
mutant1,0.067,9,15.125,0.112460606060606,0.997592093366181,-1.15546666666667,10.27441258892
mutant1,0.062333333333333,8.5,15.125,0.113381818181818,0.998610165921373,-1.1566,10.2009300833868
mutant11,0.041,7.25,15.125,0.112484848484848,0.998647046992667,-1.15253333333333,10.2461206896552
mutant11,0.053333333333333,8.5,15.625,0.116557575757576,0.999102932799485,-1.25421212121212,10.7604513311148
mutant13,0.049666666666667,8,15.125,0.115951515151515,0.999026000383504,-1.19606666666667,10.3152310265524
mutant13,0.044333333333333,6.25,14.125,0.118230303030303,0.99932406817685,-1.11710303030303,9.44853393479598
mutant16,0.076,8.5,14.625,0.113866666666667,0.99894010550134,-1.0764,9.45316159250585
mutant16,0.063333333333333,8.25,14.125,0.10969696969697,0.99808977054775,-1.0387696969697,9.46944751381215
mutant32,0.093666666666667,11,15.625,0.115854545454545,0.999071918324613,-1.27712727272727,11.0235404896422
mutant32,0.061333333333333,10.75,17.125,0.116775757575758,0.99965172545609,-1.47008484848485,12.5889557816068
mutant32,0.039333333333333,7.5,15.625,0.114957575757576,0.999195011881973,-1.26321212121212,10.988506959089
mutant32,0.013666666666667,4.75,17.125,0.117745454545455,0.999185249612606,-1.48889090909091,12.6449969116739
WT_glicerol,0.023,8,32.375,0.038084848484849,0.997973355201041,-0.708696969696971,18.6083704646722
WT_glicerol,0.056666666666667,12.25,32.375,0.044606060606061,0.996096347372125,-0.834921212121211,18.7176630434783
mutant1_glicerol,0.105333333333333,20.5,35.375,0.043563636363636,0.984445007412583,-0.887363636363636,20.3693656093489
mutant1_glicerol,0.042,8.5,35.375,0.039369696969697,0.994481171276751,-0.74730303030303,18.9816810344828
mutant11_glicerol,0.047666666666667,12.5,33.625,0.045721212121212,0.99219188460324,-0.952575757575758,20.8344379639449
mutant11_glicerol,0.044333333333333,12.5,33.375,0.042666666666667,0.99229001931019,-0.882799999999999,20.690625
mutant13_glicerol,0.041666666666667,11.5,32.875,0.046278787878788,0.992662923493762,-0.943515151515152,20.3876375065479
mutant13_glicerol,0.048,11.5,33.375,0.044169696969697,0.997545563925319,-0.790563636363637,17.8983260153677
mutant16_glicerol,0.06,13.25,32.125,0.047878787878788,0.997567348663231,-0.940206060606061,19.6372151898734
mutant16_glicerol,0.061,13.25,32.375,0.042545454545455,0.998428460426086,-0.763109090909091,17.9363247863248
WT_glicerol,0.047,12,34.125,0.043054545454546,0.997048849506498,-0.841836363636364,19.5527871621622
WT_glicerol,0.045,11.25,34.125,0.045987878787879,0.998971771747763,-0.896636363636363,19.4972324723247
mutant1_glicerol,0.042,11.5,35.875,0.044484848484849,0.996368690370194,-0.92679393939394,20.8339237057221
mutant1_glicerol,0.033,9,37.625,0.045624242424243,0.919843597262952,-1.03221212121212,22.6242029755579
mutant11_glicerol,0.035,9.75,33.625,0.044460606060606,0.993778902869812,-0.890587878787879,20.0309432933479
mutant11_glicerol,0.042,12,36.125,0.054327272727273,0.923106572975251,-1.28927272727273,23.731593038822
mutant13_glicerol,0.037666666666667,10.5,35.375,0.045818181818182,0.997506861158304,-0.929018181818182,20.2761904761905
mutant13_glicerol,0.03,8.75,32.625,0.046715151515152,0.999468145953025,-0.88758181818182,18.9998702646601
mutant16_glicerol,0.029,9,33.375,0.044581818181818,0.996629885980166,-0.852818181818182,19.1292822185971
mutant16_glicerol,0.058666666666667,12.75,32.125,0.040363636363636,0.996273978982913,-0.734981818181817,18.209009009009
mutant32_glicerol,0.052,13.75,34.625,0.045406060606061,0.995896195549575,-0.934684848484847,20.5850240256273
mutant32_glicerol,0.044333333333333,15.75,37.625,0.045866666666667,0.998294373887969,-1.14573333333333,24.9796511627907
mutant32_glicerol,0.042666666666667,12.75,35.875,0.045842424242424,0.997046680680434,-1.00229696969697,21.863960867266
mutant32_glicerol,0.034666666666667,14.75,40.125,0.045090909090909,0.998061344595998,-1.18427272727273,26.2641129032258
WT_antimycinA1.5mgL,0.090666666666667,9.75,14.625,0.1144,0.998715377727788,-1.1066,9.67307692307692
WT_antimycinA1.5mgL,0.062,7.5,14.125,0.116169696969697,0.999483615499335,-1.09209696969697,9.40087646076795
mutant1_antimycinA1.5mgL,0.074,9.25,14.875,0.114278787878788,0.99918057627646,-1.15389696969697,10.0972104369962
mutant1_antimycinA1.5mgL,0.078333333333333,9,14.875,0.114981818181818,0.99936882106677,-1.14745454545455,9.97944339025933
mutant11_antimycinA1.5mgL,0.041,7,14.875,0.111757575757576,0.999514260553875,-1.11459393939394,9.97331887201736
mutant11_antimycinA1.5mgL,0.053333333333333,8,15.125,0.1152,0.999398276617496,-1.1994,10.4114583333333
mutant13_antimycinA1.5mgL,0.057333333333333,8.25,14.875,0.118181818181818,0.999208390455732,-1.20065454545455,10.1593846153846
mutant13_antimycinA1.5mgL,0.053,7.25,13.875,0.119321212121212,0.999188476665611,-1.09858181818182,9.20692807801707
mutant16_antimycinA1.5mgL,0.067666666666667,8.25,14.125,0.117672727272727,0.999097809095794,-1.12472727272727,9.55809641532757
mutant16_antimycinA1.5mgL,0.066,8.25,14.125,0.1136,0.99948329417985,-1.0918,9.61091549295775
WT_antimycinA1.5mgL,0.029666666666667,5.75,14.625,0.107442424242424,0.997899407700844,-1.04374545454545,9.71446299638989
WT_antimycinA1.5mgL,0.064333333333333,8,14.125,0.118157575757576,0.99905493855166,-1.11317575757576,9.42111202297908
mutant1_antimycinA1.5mgL,0.075333333333333,9.5,14.875,0.1136,0.99809204960671,-1.1394,10.0299295774648
mutant1_antimycinA1.5mgL,0.097,9.5,14.875,0.113575757575758,0.998803214030154,-1.08893939393939,9.58778014941302
mutant11_antimycinA1.5mgL,0.049333333333333,7.5,14.625,0.111684848484849,0.998571805292968,-1.09789090909091,9.83025830258303
mutant11_antimycinA1.5mgL,0.056666666666667,8,14.875,0.114036363636364,0.998983662758066,-1.16349090909091,10.202806122449
mutant13_antimycinA1.5mgL,0.055666666666667,8.25,14.875,0.119490909090909,0.999066853805822,-1.19912727272727,10.0353012781497
mutant13_antimycinA1.5mgL,0.070333333333333,8,13.875,0.120048484848485,0.999274005180089,-1.09567272727273,9.12691841680129
mutant16_antimycinA1.5mgL,0.078666666666667,8.75,13.875,0.118181818181818,0.999280486514231,-1.09867272727273,9.29646153846154
mutant16_antimycinA1.5mgL,0.075666666666667,8.5,13.875,0.118084848484849,0.999483042884062,-1.10012727272727,9.31641346746048
mutant32_antimycinA1.5mgL,0.055333333333333,8,15.375,0.113963636363636,0.999751910041604,-1.19969090909091,10.5269623484365
mutant32_antimycinA1.5mgL,0.023,6.25,16.875,0.115006060606061,0.998246357341418,-1.37832727272727,11.9848229342327
mutant32_antimycinA1.5mgL,0.061666666666667,8.75,15.625,0.116678787878788,0.999373239203594,-1.25500606060606,10.7560772906711
mutant32_antimycinA1.5mgL,0.076333333333333,11.5,17.375,0.110763636363636,0.999490960454493,-1.37881818181818,12.4482928430729
WT_antimycinA0.75mgL,0.051666666666667,7.25,14.625,0.10470303030303,0.999251328642567,-0.985181818181818,9.40929613336421
WT_antimycinA0.75mgL,0.044,6.75,14.125,0.118375757575758,0.999373476364136,-1.11915757575758,9.45428015564202
mutant1_antimycinA0.75mgL,0.065666666666667,8.75,14.875,0.116242424242424,0.999436296285767,-1.16680606060606,10.0376955161627
mutant1_antimycinA0.75mgL,0.064,8.25,14.875,0.117406060606061,0.99961455342942,-1.16671515151515,9.93743547387983
mutant11_antimycinA0.75mgL,0.040666666666667,7,14.875,0.110448484848485,0.997754070638815,-1.06692121212121,9.65989903424056
mutant11_antimycinA0.75mgL,0.060333333333333,8.5,15.125,0.116218181818182,0.999542816345255,-1.181,10.1619211514393
mutant13_antimycinA0.75mgL,0.066333333333333,8.75,14.875,0.119151515151515,0.999579598702963,-1.17887878787879,9.8939471007121
mutant13_antimycinA0.75mgL,0.052666666666667,7,13.875,0.121139393939394,0.999236626711222,-1.10330909090909,9.10776465879528
mutant16_antimycinA0.75mgL,0.053666666666667,7.25,14.125,0.11849696969697,0.999244352256646,-1.1121696969697,9.38563829787234
mutant16_antimycinA0.75mgL,0.075666666666667,8.75,14.125,0.118012121212121,0.999226000578518,-1.10192121212121,9.33735620377979
WT_antimycinA0.75mgL,0.066333333333333,7,14.125,0.115806060606061,0.999216730887465,-1.07266060606061,9.26256018421604
WT_antimycinA0.75mgL,0.058666666666667,7.5,14.375,0.118036363636364,0.999190268145915,-1.11307272727273,9.42991373998768
mutant1_antimycinA0.75mgL,0.071666666666667,8.75,14.625,0.116121212121212,0.999338481228163,-1.13707272727273,9.79211899791232
mutant1_antimycinA0.75mgL,0.091333333333333,9.5,14.875,0.119078787878788,0.999458344828386,-1.16829696969697,9.81112581433225
