,Mutants,initial_biomass,lag,t_max,max_slope,r2,y-intercept,x-intercept,Medium,Yeast,Stres,Medium_Stress
0,WT,0.116,10,10,0.0528,1,-0.238,4.50757575757576,YES,WT,,YES
1,WT,0.121666666666667,7.5,7.5,0.0548,0.999130527361772,-0.102333333333333,1.86739659367397,YES,WT,,YES
2,mutant1,0.134333333333333,8.75,8.75,0.0592,0.999756572541383,-0.200333333333333,3.38400900900901,YES,mutant1,,YES
3,mutant1,0.125333333333333,8.75,8.75,0.0608,0.999942293265624,-0.219333333333333,3.60745614035088,YES,mutant1,,YES
4,mutant11,0.135,7.5,7.5,0.0544,0.999351631726821,-0.102,1.875,YES,mutant11,,YES
5,mutant11,0.132666666666667,7.5,7.5,0.0536,0.9993321460374,-0.104,1.94029850746269,YES,mutant11,,YES
6,mutant13,0.115666666666667,7.5,7.5,0.052,0.998031496062992,-0.097333333333334,1.87179487179487,YES,mutant13,,YES
7,mutant13,0.119666666666667,7.5,7.5,0.0548,0.999556202513669,-0.134333333333333,2.45133819951338,YES,mutant13,,YES
8,mutant16,0.112666666666667,7.5,7.5,0.0556,0.997092823229891,-0.156666666666667,2.81774580335732,YES,mutant16,,YES
9,mutant16,0.153,7.5,6.25,0.0516,0.9990194508925,-0.051166666666667,0.991602067183463,YES,mutant16,,YES
10,WT,0.093333333333333,8.75,10,0.0656,0.999801744647105,-0.337333333333333,5.14227642276423,YES,WT,,YES
11,WT,0.092333333333333,6.25,6.25,0.0616,0.997980138023902,-0.144,2.33766233766234,YES,WT,,YES
12,mutant1,0.118,7.5,8.75,0.0668,0.999701285666492,-0.249166666666667,3.73003992015968,YES,mutant1,,YES
13,mutant1,0.121333333333333,7.5,8.75,0.068,0.999815489644357,-0.264666666666667,3.8921568627451,YES,mutant1,,YES
14,mutant11,0.090666666666667,6.25,7.5,0.0636,0.998933143669986,-0.175,2.75157232704403,YES,mutant11,,YES
15,mutant11,0.128666666666667,7.5,7.5,0.058,0.999223750079209,-0.109333333333333,1.88505747126437,YES,mutant11,,YES
16,mutant13,0.118,6.25,7.5,0.0572,0.998031496062992,-0.111666666666667,1.95221445221445,YES,mutant13,,YES
17,mutant13,0.098333333333333,6.25,7.5,0.0652,0.999987454207859,-0.191333333333333,2.93456032719836,YES,mutant13,,YES
18,mutant16,0.118666666666667,7.5,7.5,0.0608,0.997926744989634,-0.18,2.96052631578947,YES,mutant16,,YES
19,mutant16,0.122333333333333,7.5,6.25,0.0552,0.995539137101834,-0.102666666666667,1.85990338164251,YES,mutant16,,YES
20,mutant32,0.116,7.5,7.5,0.0652,0.999686449606181,-0.185333333333333,2.84253578732106,YES,mutant32,,YES
21,mutant32,0.131,8.75,8.75,0.0544,0.999927917537663,-0.190333333333333,3.49877450980392,YES,mutant32,,YES
26,mutant32,0.148666666666667,7.5,7.5,0.0632,0.998666524429272,-0.146666666666667,2.32067510548523,YES,mutant32,,YES
27,mutant32,0.158,10,8.75,0.0548,0.998563524154075,-0.1715,3.12956204379562,YES,mutant32,,YES
28,WT_etOH5%,0.065666666666667,10,13.75,0.0616,1,-0.534,8.66883116883117,YES,WT,etOH5%,etOH5%
29,WT_etOH5%,0.149,8.75,10,0.0612,0.999302749160453,-0.227333333333333,3.71459694989107,YES,WT,etOH5%,etOH5%
30,mutant1_etOH5%,0.102333333333333,10,11.25,0.0536,0.997333925794268,-0.304,5.67164179104478,YES,mutant1,etOH5%,etOH5%
31,mutant1_etOH5%,0.133666666666667,12.5,13.75,0.0472,1,-0.298,6.3135593220339,YES,mutant1,etOH5%,etOH5%
32,mutant11_etOH5%,0.137333333333333,10,10,0.0444,0.999756572541383,-0.154,3.46846846846847,YES,mutant11,etOH5%,etOH5%
33,mutant11_etOH5%,0.132,10,10,0.0436,0.999971944787341,-0.140666666666667,3.2262996941896,YES,mutant11,etOH5%,etOH5%
34,mutant13_etOH5%,0.11,8.75,10,0.0476,0.999411875411687,-0.193333333333333,4.06162464985994,YES,mutant13,etOH5%,etOH5%
35,mutant13_etOH5%,0.109333333333333,8.75,10,0.0488,0.999910426370477,-0.206333333333333,4.22814207650273,YES,mutant13,etOH5%,etOH5%
36,mutant16_etOH5%,0.101,12.5,13.75,0.0472,0.999617114961233,-0.362666666666667,7.68361581920904,YES,mutant16,etOH5%,etOH5%
37,mutant16_etOH5%,0.130666666666667,8.75,10,0.0516,0.9990194508925,-0.165333333333333,3.20413436692507,YES,mutant16,etOH5%,etOH5%
38,WT_etOH5%,0.092,12.5,15,0.0516,0.999819754866619,-0.437,8.46899224806202,YES,WT,etOH5%,etOH5%
39,WT_etOH5%,0.103666666666667,8.75,11.25,0.052,0.999290444654683,-0.243,4.67307692307692,YES,WT,etOH5%,etOH5%
40,mutant1_etOH5%,0.11,11.25,12.5,0.0532,0.999830431833597,-0.326,6.12781954887218,YES,mutant1,etOH5%,etOH5%
41,mutant1_etOH5%,0.136666666666667,10,11.25,0.0496,0.999913292291685,-0.196666666666667,3.96505376344086,YES,mutant1,etOH5%,etOH5%
42,mutant11_etOH5%,0.089666666666667,8.75,11.25,0.0488,0.999910426370477,-0.225333333333333,4.61748633879782,YES,mutant11,etOH5%,etOH5%
43,mutant11_etOH5%,0.108,8.75,10,0.0436,0.998627143337443,-0.147666666666667,3.3868501529052,YES,mutant11,etOH5%,etOH5%
44,mutant13_etOH5%,0.102666666666667,8.75,10,0.0468,0.999975650141229,-0.188333333333333,4.02421652421652,YES,mutant13,etOH5%,etOH5%
45,mutant13_etOH5%,0.082333333333333,8.75,10,0.0496,0.999653259361998,-0.226666666666667,4.56989247311828,YES,mutant13,etOH5%,etOH5%
46,mutant16_etOH5%,0.142333333333333,8.75,8.75,0.0564,0.999849124924563,-0.1565,2.77482269503546,YES,mutant16,etOH5%,etOH5%
47,mutant16_etOH5%,0.14,10,10,0.0484,0.999977233403151,-0.147666666666667,3.05096418732782,YES,mutant16,etOH5%,etOH5%
51,mutant32_etOH5%,0.140333333333333,11.25,11.25,0.0448,0.99904428161835,-0.176,3.92857142857143,YES,mutant32,etOH5%,etOH5%
