Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20
Well1,Well11,Well21,Well31,Well41,Well51,Well61,Well71,Well81,Well91,Well101,Well111,Well121,Well131,Well141,Well151,Well161,Well171,Well181,Well191
Well2,Well12,Well22,Well32,Well42,Well52,Well62,Well72,Well82,Well92,Well102,Well112,Well122,Well132,Well142,Well152,Well162,Well172,Well182,Well192
Well3,Well4,Well23,Well6,Well7,Well8,Well9,Well10,Well11,Well12,Well4,Well5,Well24,Well7,Well8,Well9,Well10,Well11,Well12,Well13
Well4,Well14,Well24,Well34,Well44,Well54,Well64,Well74,Well84,Well94,Well104,Well114,Well124,Well134,Well144,Well154,Well164,Well174,Well184,Well194
Well5,Well15,Well25,Well35,Well45,Well55,Well65,Well75,Well85,Well95,Well105,Well115,Well125,Well135,Well145,Well155,Well165,Well175,Well185,Well195
Well6,Well16,Well26,Well36,Well46,Well56,Well66,Well76,Well86,Well96,Well106,Well116,Well126,Well136,Well146,Well156,Well166,Well176,Well186,Well196
Well7,Well17,Well27,Well37,Well47,Well57,Well67,Well77,Well87,Well97,Well107,Well117,Well127,Well137,Well147,Well157,Well167,Well177,Well187,Well197
Well8,Well18,Well28,Well38,Well48,Well58,Well68,Well78,Well88,Well98,Well108,Well118,Well128,Well138,Well148,Well158,Well168,Well178,Well188,Well198
Well9,Well19,Well29,Well39,Well49,Well59,Well69,Well79,Well89,Well99,Well109,Well119,Well129,Well139,Well149,Well159,Well169,Well179,Well189,Well199
Well10,Well20,Well30,Well40,Well50,Well60,Well70,Well80,Well90,Well100,Well110,Well120,Well130,Well140,Well150,Well160,Well170,Well180,Well190,Well200
